endpoint,metric,oq_wcv,oq_ci_lo,oq_ci_hi,pcct_wcv,pcct_ci_lo,pcct_ci_hi,ci_overlap
Lumen Volume (mm³),log-wCV,7.5,5.9,9.3,11.23,8.30,13.28,YES
Wall Volume (mm³),log-wCV,13.1,10.2,16.0,17.92,14.24,20.67,YES
Vessel Volume (mm³),log-wCV,8.7,6.8,10.6,12.58,9.92,14.37,YES
Vessel Length (mm),untransf-wCV,13.88,10.72,17.38,21.92,16.57,26.45,YES
CALC Volume (mm³),untransf-wCV,25.78,18.7,35.75,33.60,20.73,46.73,YES
LRNC Volume (mm³),untransf-wCV,78.8,48.09,163.4,98.20,43.37,162.72,YES
NonCALC Matrix Volume (mm³),untransf-wCV,32.61,24.87,41.94,40.76,27.14,52.28,YES
Total Plaque Volume (mm³),untransf-wCV,27.08,20.68,34.74,37.85,24.33,50.17,YES
